traduccion,unidad,tipo_palabra,hiragana,katakana,kanji
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
tener hijos,11,verbos,こどもがいます,*,*
permanecer en un lugar,11,verbos,どこかがいます,*,*
tardar,11,verbos,かかります,*,*
descansar,11,verbos,やすみます,*,*
manzana,11,sustantivo,りんご,*,*
naranja,11,sustantivo,みかん,*,*
sandwich,11,sustantivo,さんどいっち,サンドイッチ,*
curry,11,sustantivo,かれ-,カレ-,*
helado,11,sustantivo,あいすくり-む,アイスクリ-ム,*
sello postal,11,sustantivo,きって,*,*
tarjeta postal,11,sustantivo,はがき,*,*
sobres,11,sustantivo,ふうとう,*,*
correo urgente,11,sustantivo,そくたつ,*,*
correo certificado,11,sustantivo,かきとめ,*,*
via aerea,11,sustantivo,こうくうびん,エアメ-ル,*
via marítima,11,sustantivo,ふなびん,*,*
extranjero,11,sustantivo,がいこく,*,*
en total,11,adverbios,ぜんぶん,*,*
todos,11,adverbios,みんな,*,*
solamente,11,adverbios,だけ,*,*
aproximadamente,11,adverbios,ぐらい,*,*
bienvenidos,11,frases,いらっしゃいます,*,*
hace buen clima no,11,frases,いいてんきですね,*,*
va a salir,11,frases,おでかけですか,*,*
estoy saliendo solo a ,11,frases,ちょっと。。。まで,*,*
que vaya y vuelva,11,frases,行って　いらっしゃい,*,*
salgo y vuelvo,11,frases,行って　まいります,*,*
1 cosa,11,contador general,ひとつ,*,一つ
2 cosas,11,contador general,ふたつ,*,二つ
3 cosas,11,contador general,みっつ,*,三つ
4 cosas,11,contador general,よっつ,*,四つ
5 cosas,11,contador general,いっつ,*,五つ
6 cosas,11,contador general,むっつ,*,六つ
7 cosas,11,contador general,ななつ,*,七つ
8 cosas,11,contador general,やっつ,*,八つ
9 cosas,11,contador general,ここのつ,*,九つ
10 cosas,11,contador general,とお,*,十つ
n cosas,11,contador general,Nつ,*,*
que cosas,11,contador general,なんつ,*,何つ
1 persona,11,contador persona,ひとり,*,一人
2 personas,11,contador persona,ふたり,*,二人
4 personas,11,contador persona,よにん,*,四人
7 personas,11,contador persona,しちにん,*,七人
n personas,11,contador persona,Nにん,*,N人
1 objeto pequeño,11,contador,いっこ,*,一こ
6 objetos pequeño,11,contador,ろっこ,*,六こ
8 objetos pequeño,11,contador,はっこ,*,八こ
10 objetos pequeño,11,contador,じゅっこ,*,十こ
n objetos pequeños,11,contador,Nこ,*,*
1 par de objetos pies,11,contador,いっそく,*,一足
3 pares de objetos pies,11,contador,さんぞく,*,三足
8 pares de objetos pies,11,contador,はっそく,*,八足
10 pares de objetos pies,11,contador,じゅっそく,*,十足
cuales pares de objetos pies,11,contador,なんぞく,*,何足
n pares de objetos pies,11,contador,Nそく,*,N足
n maquinarias,11,contador,Nだい,*,*
n objetos planos,11,contador,Nまい,*,*
n orden,11,contador,Nばん,*,*
1 años,11,contador,いっさい,*,一さい
8 años,11,contador,はっさい,*,八さい
10 años,11,contador,じゅっさい,*,十さい
20 años,11,contador,はたち,*,二十さい
n años,11,contador,Nさい,*,*
1 encuadernado,11,contador,いっさつ,*,一さつ
8 encuadernados,11,contador,はっさつ,*,八さつ
10 encuadernados,11,contador,じゅっさつ,*,十さつ
n encuadernados,11,contador,Nさつ,*,*
1 vestimenta,11,contador,いっちゃく,*,一ちゃく
8 vestimentas,11,contador,はっちゃく,*,八ちゃく
10 vestimentas,11,contador,じゅっちゃく,*,十ちゃく
n vestimentas,11,contador,Nちゃく,*,*
1 piso,11,contador,いっかい,*,一かい
3 pisos,11,contador,さんがい,*,三がい
6 pisos,11,contador,ろっかい,*,六かい
8 pisos,11,contador,はっかい,*,八かい
10 pisos,11,contador,じゅっかい,*,十かい
cual piso,11,contador,なんがい,*,何がい
n pisos,11,contador,Nかい,*,*
1 vivienda,11,contador,いっけん,*,一けん
3 viviendas,11,contador,さんげん,*,三げん
6 viviendas,11,contador,ろっけん,*,六けん
